Country or region,Region,Overall rank,Score,Standard Error,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
Mongolia,Eastern Asia,83,5.285,0.05235,0.948,1.531,0.667,0.317,0.038,0.235
Nigeria,Sub-Saharan Africa,85,5.265,0.06988,0.696,1.111,0.245,0.426,0.041,0.215
Kyrgyzstan,Central and Eastern Europe,86,5.261,0.06607,0.551,1.438,0.723,0.508,0.023,0.3
Turkmenistan,Central and Eastern Europe,87,5.247,0.04864,1.052,1.538,0.657,0.394,0.028,0.244
Algeria,Middle East and Northern Africa,88,5.211,0.04802,1.002,1.16,0.785,0.086,0.114,0.073
Morocco,Middle East and Northern Africa,89,5.208,0.0464,0.801,0.782,0.782,0.418,0.076,0.036
Azerbaijan,Central and Eastern Europe,90,5.208,0.04934,1.043,1.147,0.769,0.351,0.182,0.035
Lebanon,Middle East and Northern Africa,91,5.197,0.06161,0.987,1.224,0.815,0.216,0.027,0.166
Indonesia,Southeastern Asia,92,5.192,0.0342,0.931,1.203,0.66,0.491,0.028,0.498
China,Eastern Asia,93,5.191,0.05376,1.029,1.125,0.893,0.521,0.1,0.058
Vietnam,Southeastern Asia,94,5.175,0.07896,0.741,1.346,0.851,0.543,0.073,0.147
Bhutan,Southern Asia,95,5.082,0.05013,0.813,1.321,0.604,0.457,0.167,0.37
Cameroon,Sub-Saharan Africa,96,5.044,0.06913,0.549,0.91,0.331,0.381,0.037,0.187
Bulgaria,Central and Eastern Europe,97,5.011,0.09438,1.092,1.513,0.815,0.311,0.004,0.081
Ghana,Sub-Saharan Africa,98,4.996,0.07446,0.611,0.868,0.486,0.381,0.04,0.245
Ivory Coast,Sub-Saharan Africa,99,4.944,0.06698,0.569,0.808,0.232,0.352,0.09,0.154
Nepal,Southern Asia,100,4.913,0.03313,0.446,1.226,0.677,0.439,0.089,0.285
Jordan,Middle East and Northern Africa,101,4.906,0.08742,0.837,1.225,0.815,0.383,0.13,0.11
Benin,Sub-Saharan Africa,102,4.883,0.05062,0.393,0.437,0.397,0.349,0.082,0.175
Congo (Brazzaville),Sub-Saharan Africa,103,4.812,0.04337,0.673,0.799,0.508,0.372,0.093,0.105
Gabon,Sub-Saharan Africa,104,4.799,0.06107,1.057,1.183,0.571,0.295,0.055,0.043
Laos,Southeastern Asia,105,4.796,0.05648,0.764,1.03,0.551,0.547,0.164,0.266
South Africa,Sub-Saharan Africa,106,4.722,0.03198,0.96,1.351,0.469,0.389,0.055,0.13
Albania,Central and Eastern Europe,107,4.719,0.03589,0.947,0.848,0.874,0.383,0.027,0.178
Venezuela,Latin America and Caribbean,108,4.707,0.04394,0.96,1.427,0.805,0.154,0.047,0.064
Cambodia,Southeastern Asia,109,4.7,0.03077,0.574,1.122,0.637,0.609,0.062,0.232
Palestinian Territories,Middle East and Northern Africa,110,4.696,0.04449,0.657,1.247,0.672,0.225,0.066,0.103
Senegal,Sub-Saharan Africa,111,4.681,0.04412,0.45,1.134,0.571,0.292,0.072,0.153
Niger,Sub-Saharan Africa,114,4.628,0.04742,0.138,0.774,0.366,0.318,0.102,0.188
Burkina Faso,Sub-Saharan Africa,115,4.587,0.0429,0.331,1.056,0.38,0.255,0.113,0.177
Armenia,Central and Eastern Europe,116,4.559,0.11068,0.85,1.055,0.815,0.283,0.064,0.095
Iran,Middle East and Northern Africa,117,4.548,0.02043,1.1,0.842,0.785,0.305,0.125,0.27
Guinea,Sub-Saharan Africa,118,4.534,0.0674,0.38,0.829,0.375,0.332,0.086,0.207
Georgia,Central and Eastern Europe,119,4.519,0.07331,0.886,0.666,0.752,0.346,0.164,0.043
Kenya,Sub-Saharan Africa,121,4.509,0.03607,0.512,0.983,0.581,0.431,0.053,0.372
Mauritania,Sub-Saharan Africa,122,4.49,0.0378,0.57,1.167,0.489,0.066,0.088,0.106
Mozambique,Sub-Saharan Africa,123,4.466,0.07068,0.204,0.986,0.39,0.494,0.138,0.197
Tunisia,Middle East and Northern Africa,124,4.461,0.03947,0.921,1,0.815,0.167,0.055,0.059
Bangladesh,Southern Asia,125,4.456,0.04734,0.562,0.928,0.723,0.527,0.143,0.166
Iraq,Middle East and Northern Africa,126,4.437,0.08096,1.043,0.98,0.574,0.241,0.089,0.148
Congo (Kinshasa),Sub-Saharan Africa,127,4.418,0.04763,0.094,1.125,0.357,0.269,0.053,0.212
Mali,Sub-Saharan Africa,128,4.39,0.04934,0.385,1.105,0.308,0.327,0.052,0.153
Sierra Leone,Sub-Saharan Africa,129,4.374,0.04351,0.268,0.841,0.242,0.309,0.045,0.252
Sri Lanka,Southern Asia,130,4.366,0.04221,0.949,1.265,0.831,0.47,0.047,0.244
Myanmar,Southeastern Asia,131,4.36,0.0613,0.71,1.181,0.555,0.525,0.172,0.566
Chad,Sub-Saharan Africa,132,4.35,0.03751,0.35,0.766,0.192,0.174,0.078,0.198
Ukraine,Central and Eastern Europe,133,4.332,0.04678,0.82,1.39,0.739,0.178,0.01,0.187
Ethiopia,Sub-Saharan Africa,134,4.286,0.04828,0.336,1.033,0.532,0.344,0.1,0.209
Swaziland,Sub-Saharan Africa,135,4.212,0.0326,0.811,1.149,0,0.313,0.135,0.074
Uganda,Sub-Saharan Africa,136,4.189,0.04367,0.332,1.069,0.443,0.356,0.06,0.252
Egypt,Middle East and Northern Africa,137,4.166,0.04758,0.913,1.039,0.644,0.241,0.067,0.076
Zambia,Sub-Saharan Africa,138,4.107,0.05602,0.578,1.058,0.426,0.431,0.087,0.247
Togo,Sub-Saharan Africa,139,4.085,0.06682,0.275,0.572,0.41,0.293,0.085,0.177
India,Southern Asia,140,4.015,0.04797,0.755,0.765,0.588,0.498,0.085,0.2
Liberia,Sub-Saharan Africa,141,3.975,0.04317,0.073,0.922,0.443,0.37,0.033,0.233
Comoros,Sub-Saharan Africa,142,3.973,0.03608,0.274,0.757,0.505,0.142,0.078,0.275
Madagascar,Sub-Saharan Africa,143,3.933,0.04547,0.274,0.916,0.555,0.148,0.041,0.169
Lesotho,Sub-Saharan Africa,144,3.802,0.03602,0.489,1.169,0.168,0.359,0.093,0.107
Burundi,Sub-Saharan Africa,145,3.775,0.05069,0.046,0.447,0.38,0.22,0.18,0.176
Zimbabwe,Sub-Saharan Africa,146,3.663,0.05061,0.366,1.114,0.433,0.361,0.089,0.151
Haiti,Latin America and Caribbean,147,3.597,0.03633,0.323,0.688,0.449,0.026,0.11,0.419
Botswana,Sub-Saharan Africa,148,3.488,0.06112,1.041,1.145,0.538,0.455,0.1,0.025
Syria,Middle East and Northern Africa,149,3.462,0.0383,0.619,0.378,0.44,0.013,0.141,0.331
Malawi,Sub-Saharan Africa,150,3.41,0.0359,0.191,0.56,0.495,0.443,0.089,0.218
Yemen,Middle East and Northern Africa,151,3.38,0.05141,0.287,1.163,0.463,0.143,0.077,0.108
Rwanda,Sub-Saharan Africa,152,3.334,0.04324,0.359,0.711,0.614,0.555,0.411,0.217
Tanzania,Sub-Saharan Africa,153,3.231,0.03084,0.476,0.885,0.499,0.417,0.147,0.276
Afghanistan,Southern Asia,154,3.203,0.03464,0.35,0.517,0.361,0,0.025,0.158
Central African Republic,Sub-Saharan Africa,155,3.083,0.03656,0.026,0,0.105,0.225,0.035,0.235
